prc_id,company,attack_date,org_type,cik,method
3693,Northrop Grunman,2013-08-09,BSO,1133421,manual
3706,Citibank,2011-06-09,BSF,831001,manual
3751,"Saint Louis University, Tenet Healthcare Corporation, SSM Health Care",2013-10-08,MED,70318,manual
3838,"CME Group, CME ClearPort",2013-11-17,BSF,1156375,manual
3861,Dun & Bradstreet,2013-10-28,BSO,1115222,exact
3865,Crown Castle International Corp,2013-11-25,BSO,1051470,exact
3875,"ADP, Facebook, Gmail, LinkedIn, Twitter, Yahoo, YouTube",2013-12-04,BSO,8670,manual
3876,"Adobe, PR Newswire, National White Collar Crime Center",2013-10-04,BSR,796343,manual
3877,"B&G Foods North America, Inc., Maple Grove Farms",2013-12-06,BSR,1278027,manual
3879,"LexisNexis, Dun & Bradstreet, Kroll Background America",2013-09-26,BSO,1115222,manual
3889,JPMorgan Chase,2013-12-05,BSF,19617,manual
3899,Washington Post,2013-12-18,BSO,104889,exact
3900,Affinity Gaming,2013-12-21,BSO,1499268,exact
3988,Easton-Bell Sports Inc.,2014-01-17,BSR,1322739,exact
3997,Medtronic,2014-02-08,MED,64670,exact
3998,Boston Scientific,2014-02-08,MED,885725,exact
4000,"WellPoint, Inc.",2010-08-06,MED,1156039,exact
4016,Apple,2014-02-26,BSO,320193,exact
4017,Sears,2014-02-28,BSR,1310067,exact
4022,Las Vegas Sands Hotels and Casinos,2014-02-12,BSO,1300514,manual
4023,Smucker's,2014-03-04,BSR,91419,manual
4025,"Assisted Living Concepts, LLC",2014-03-04,MED,929994,exact
4027,Alaska Communications,2014-02-20,BSR,1089511,manual
4039,Sally Beauty Supply,2014-03-05,BSR,1368458,manual
4054,American Express ,2014-03-25,BSF,4962,exact
4069,AOL,2014-04-28,BSO,1468516,exact
4087,Ebay,2014-05-21,BSO,1065088,exact
4118,AutoNation Toyota of South Austin ,2014-05-26,BSO,350698,manual
4166,Boeing ,2014-07-11,BSO,12927,exact
4169,Lockheed Martin,2014-07-11,BSO,936468,exact
4170,Aecom,2014-07-08,BSO,868857,exact
4173,Dominion Resources Inc.,2014-07-21,BSO,715957,exact
4179,Michaels Stores Inc.,2014-01-25,BSR,740670,exact
4207,"MeetMe, Inc.",2014-08-18,BSO,1078099,exact
4218,Community Health Systems,2014-08-18,MED,1108109,exact
4233,Apple,2014-09-01,BSO,320193,exact
4255,Sears Holding Company/K-Mart,2014-10-10,BSR,1310067,manual
4264,Fidelity National Financial,2014-11-03,BSF,1331875,exact
4291,Shutterfly/Tiny Prints/Treats/Wedding Divas,2014-11-26,BSO,1125920,manual
4292,Bebe Retail,2014-12-05,BSR,1059272,manual
4301,ABM Parking Services,2014-12-11,BSO,771497,manual
4305,Microsoft xBox,2014-12-26,BSO,789019,manual
4306,Staples Inc.,2014-10-20,BSR,791519,exact
4307,J.P Morgan Chase,2014-08-28,BSF,19617,manual
4308,NVIDIA Corporation,2015-01-06,BSO,1045810,exact
4323,Anthem,2015-02-05,BSF,1156039,exact
4325,"Toys ""R"" Us",2015-03-03,BSR,1005414,exact
4327,Natural Grocers,2015-03-02,BSR,1547459,manual
4330,United Airlines,2015-01-01,BSO,100517,override
4343,Microsoft/Xbox One,2015-04-03,BSO,789019,manual
4351,Hilton/Hilton Honors Program,2014-11-04,BSO,1585689,manual
4354,Sally Beauty Supply,2015-05-04,BSR,1368458,manual
4365,Starbucks ,2015-05-12,BSR,829224,exact
4395,AeroGrow International,2015-06-03,BSO,1316644,exact
4397,Neiman Marcus,2014-01-10,BSR,1358651,exact
4404,United Airlines,2015-07-29,BSO,100517,override
4406,Sabre Corporation,2015-08-07,BSO,1597033,exact
4409,Ubiquiti Networks Inc.,2015-08-07,BSO,1511737,exact
4417,Web.com,2015-08-19,BSO,1095291,exact
4461,E-Trade,2015-10-09,BSF,1015780,manual
4474,Scripps Network LLC. (Food.com),2015-10-16,BSO,1430602,manual
4488,Comcast,2015-11-09,BSO,1166691,exact
4497,Starwood Hotels,2015-11-20,BSO,316206,manual
4503,Hilton Hotels,2015-09-25,BSO,1585689,manual
4507,Target Corp.,2013-12-13,BSR,27419,exact
4514,Wyndham Hotels & Resorts,2010-02-28,BSO,1361658,manual
4534,Juniper Network,2015-12-21,BSO,1043604,manual
4543,Time Warner Cable,2016-01-08,BSO,1377013,exact
4565,Hyatt Hotels,2016-01-15,BSO,1468174,exact
4579,Neiman Marcus,2016-02-01,BSO,1358651,exact
4600,Seagate,2016-03-06,BSO,1137789,manual
4604,The Home Depot,2014-09-02,BSR,354950,exact
4608,Verizon Enterprise Solutions,2016-03-24,BSO,732712,manual
4609,21st Century Oncology,2016-03-04,MED,1503518,exact
4611,1-800-Flowers,2016-03-08,BSO,1084869,manual
4615,Advanced Auto Parts,2016-03-16,BSR,1158449,manual
4616,"PerkinElmer, Inc.",2016-03-16,BSO,31791,exact
4621,Sprouts Farmers Market,2016-03-28,BSO,1575515,exact
4638,Voya Financial Advisor's Inc. ,2016-04-21,BSF,1535929,manual
4655,Wendy's ,2016-01-27,BSO,30697,exact
4658,Noodles and Company,2016-05-16,BSO,1275158,exact
4662,Equifax Inc. ,2016-05-06,BSO,33185,exact
4676,Twitter,2016-06-13,BSO,1418091,exact
4681,Amedisys,2015-03-01,MED,896262,exact
4717,"Walmart Stores, Inc. ",2016-03-01,MED,104169,manual
4722,Ecolab Health and Welfare Benefits Plan,2016-02-26,MED,31462,manual
4845,"inVentiv Health, Inc. ",2016-07-21,BSO,1089473,exact
4852,Disney Consumer Products and Interactive Media,2016-07-30,BSO,1001039,manual
4866,Oracle's MICROS Point-of-Sale,2016-08-08,BSO,1341439,manual
4897,Charles Schwab,2016-05-03,BSF,316709,manual
4932,Yahoo,2016-09-22,BSO,1011006,exact
4942,Vera Bradley,2016-10-12,BSO,1495320,exact
4945,Jive Software/Producteev,2016-09-23,BSO,1462633,manual
5032,The Madison Square Garden Company,2016-11-22,BSO,1636519,override
5035,Google Android,2016-11-30,BSO,1652044,manual
5046,Quest Diagnostics,2016-12-12,MED,1022079,exact
5053,Yahoo,2016-12-14,BSO,1011006,exact
5061,Western Union,2016-12-20,BSF,1365135,exact
5068,Hewlett Packard Enterprise Services ,2016-11-23,BSO,1645590,manual
5099,LinkedIn,2016-05-17,BSO,1271024,exact
5105,eHealth Insurance,2017-01-27,BSF,1333493,manual
5107,Sunrun,2017-02-02,BSO,1469367,exact
5109,Toys R Us,2017-02-02,BSO,1005414,exact
5112,Capital One,2017-02-06,BSF,927628,manual
5135,Abbott Nutrition,2017-02-24,BSO,1800,manual
5136,Spiral Toys,2017-02-27,BSO,1520108,exact
5153,Verifone,2017-03-07,BSO,1312073,exact
5202,Neiman Marcus Group,2017-04-14,BSO,1358651,exact
5208,Northrop Grumman Systems Corporation,2017-04-19,BSO,1133421,manual
5211,Chipotle Mexican Grill,2017-04-26,BSO,1058090,exact
5215,Sabre Corporation,2017-05-02,BSO,1597033,exact
5218,Gannett Co,2017-05-04,BSO,1635718,override
5219,Google Docs,2017-05-04,BSO,1652044,manual
5310,Intuit,2017-05-11,BSF,896878,exact
5337,"WellPoint, Inc.",2010-07-30,MED,1156039,exact
5848,Patterson Dental Supply/Patterson Companies,2013-03-12,MED,891024,manual
6208,"PST Services Inc, a McKesson Co.",2014-08-08,MED,927653,manual
6336,Anthem (Working file),2015-02-13,MED,1156039,manual
6356,"Anthem, Inc. Affiliated Covered Entity",2015-03-13,MED,1156039,manual
6362,Career Education Corporation,2015-03-19,MED,1046568,exact
6368,AT&T Group Health Plan,2015-03-23,MED,732717,manual
6386,SUPERVALU Group Health Plan,2015-04-03,MED,95521,manual
6389,ADT LLC Group Health & Welfare Plan,2015-04-07,MED,1546640,manual
6916,"WellCare Health Plans, Inc.",2017-01-27,MED,1279363,exact
6974,Humana Inc [case # HU17001CC],2017-04-18,MED,49071,manual
6996,Blucora (TaxAct),2016-01-11,BSF,1068875,manual
6999,Sabre Corporation,2017-05-17,BSO,1597033,exact
7013,Game Stop,2017-06-02,BSO,1326380,manual
7015,The Buckle Inc.,2017-06-20,BSR,885245,exact
7070,"Staples, Inc.",2014-12-19,MED,791519,exact
7134,Booking.com,2014-09-18,MED,1075531,manual
7143,"Home Depot, Inc.",2014-09-09,MED,354950,exact
7154,SUPERVALU Inc.,2014-08-14,MED,95521,exact
7157,Liberty Tax,2014-08-22,MED,1528930,exact
7193,AECOM Technology Corporation,2014-07-10,MED,868857,exact
7200,"Intuit, Inc.",2014-06-09,MED,896878,exact
7205,Polyone Designed Structures and Solutions,2014-06-16,MED,1122976,manual
7207,"Rowan Companies, Inc.",2014-06-02,MED,85408,exact
7216,"Fidelity National Financial, Inc.",2014-06-12,MED,1331875,exact
7220,"Papa John's USA, Inc.",2014-06-17,MED,901491,manual
7235,CenturyLink,2014-05-22,MED,18926,exact
7242,Affinity Gaming,2014-05-16,MED,1499268,exact
7243,"AutoNation, Inc.",2014-05-14,MED,350698,exact
7258,Federal Home Loan Mortgage Corporation (Freddie Mac),2014-04-25,MED,1026214,manual
7263,"L Brands, Inc.",2014-04-21,MED,701985,exact
7269,"Michaels Stores, Inc.",2014-04-17,MED,740670,exact
