,ours_mean,ours_rank,paper_rank
Telcm,0.3111805108847346,2.0,1
Shops,0.3151466497523467,1.0,2
BusEq,0.26593135524684947,5.0,3
Money,0.28330014758329997,3.0,4
Utils,0.2661251453795352,4.0,5
NoDur,0.22038481598469595,9.0,6
Other,0.2599942593793251,6.0,7
Chems,0.22748892389908504,7.0,8
Hlth,0.21728348943578044,10.0,9
Durbl,0.22574823697404278,8.0,10
Manuf,0.2040543620929528,11.0,11
Enrgy,0.15279406723116445,12.0,12
