,paper,ours
mean,0.24,0.2540580920695966
sd,0.22,0.2308520699605394
p1,0.0,0.0
p25,0.0,0.0
p50,0.28,0.32340574224064284
p75,0.45,0.4682431437258627
p99,0.61,0.6130228731506503
