,paper,ours
crd_sentences,0.569,0.5962296813221171
crd_sentences_ratio,0.443,0.41547923165017664
negative_words,0.033,-0.06609397135262252
precise_words,0.084,-0.013323559396930796
litigious_words,0.127,0.07975527410878455
cyber_insurance,0.169,0.11688613032185366
