,paper,ours
mean,15.52,15.77884153940938
sd,1.22,1.250459315146732
p1,12.86,12.438036378225904
p25,14.44,14.80306360855947
p50,15.63,16.043450873211793
p75,16.54,16.71553333301651
p99,17.78,18.098598268043304
